net,length_um
_0163_,346.565
regs\[6\]\[7\],344.38
_0413_,343.1
regs\[6\]\[13\],339.64
regs\[10\]\[11\],339.32
_0252_,338.765
_0458_,338.66
_0332_,337.78
_0178_,337.265
regs\[9\]\[8\],335.44
_0318_,335.42
_0222_,335.345
_0179_,335.33
regs\[7\]\[3\],334.96
_0117_,333.965
_0041_,333.465
_0134_,332.525
_0381_,331.74
_0425_,330.84
regs\[4\]\[7\],330.58
regs\[15\]\[2\],329.22
regs\[0\]\[7\],329.18
_0312_,328.94
regs\[13\]\[11\],328.42
_0442_,328.32
_0447_,327.9
_0335_,327.67
_0392_,327.28
_0143_,325.085
_0024_,324.195
_0457_,322.08
regs\[9\]\[9\],322.04
_0071_,320.645
_0246_,320.625
_0210_,319.325
_0226_,318.365
regs\[9\]\[0\],318.3
_0186_,317.885
_0170_,316.825
_0062_,315.26
_0412_,314.96
_0218_,313.165
regs\[9\]\[7\],311.86
_0035_,310.605
regs\[13\]\[10\],310.4
_0393_,309.32
_0432_,309.32
_0301_,309.14
_0204_,306.425
_0230_,306.325
_0037_,305.485
regs\[8\]\[5\],305.4
_0108_,304.665
regs\[2\]\[11\],304.34
_0142_,303.565
_0249_,301.725
_0404_,301.435
_0009_,301.16
_0430_,301.04
regs\[0\]\[15\],300.58
_0356_,300.5
regs\[5\]\[5\],300.3
_0467_,299.98
_0282_,299.88
_0092_,299.855
regs\[5\]\[8\],299.82
_0095_,299.805
_0125_,298.495
_0215_,298.175
regs\[15\]\[3\],297.8
_0099_,297.505
regs\[1\]\[2\],297.46
regs\[9\]\[11\],296.94
_0094_,296.115
regs\[15\]\[6\],295.42
_0229_,294.36
regs\[12\]\[4\],292.88
regs\[6\]\[15\],290.8
_0449_,290.14
_0351_,290.06
_0180_,289.805
_0046_,289.485
_0077_,289.385
_0014_,288.87
_0013_,287.32
regs\[14\]\[13\],287.32
_0219_,287.045
_0418_,286.98
_0478_,286.98
_0002_,284.825
regs\[2\]\[4\],284.01
_0379_,283.64
regs\[15\]\[8\],283.62
_0154_,283.325
_0122_,282.845
regs\[3\]\[2\],279.36
regs\[10\]\[9\],278.9
_0074_,277.78
_0227_,276.545
_0132_,275.825
regs\[1\]\[4\],275.52
_0365_,274.34
_0064_,274.035
_0183_,273.72
_0044_,272.385
regs\[9\]\[5\],269.68
_0410_,268.6
_0402_,268.54
regs\[4\]\[6\],268
regs\[0\]\[11\],267.16
_0225_,267.105
_0443_,266.5
_0349_,266.44
_0424_,265.18
_0027_,264.945
_0109_,264.865
_0007_,264.815
_0306_,263.82
regs\[11\]\[15\],261.42
_0078_,260.48
data_out[15],257.13
regs\[8\]\[8\],256.84
_0362_,255.34
_0399_,255.04
_0104_,254.825
_0202_,254.145
_0337_,254.02
_0363_,253.76
_0069_,251.605
_0057_,249.675
_0240_,247.805
_0405_,247.76
_0338_,246.84
_0021_,245.705
_0153_,244.625
_0361_,244.19
regs\[2\]\[10\],244.04
regs\[6\]\[3\],243.1
_0066_,242.58
_0175_,240.845
_0036_,238.54
_0194_,238.345
_0004_,238.165
regs\[11\]\[7\],238.12
_0242_,237.5
regs\[12\]\[12\],237.36
_0098_,237.205
_0144_,236.725
_0245_,233.585
_0030_,233.505
_0164_,231.78
_0113_,231.585
_0455_,231.48
_0019_,231.175
_0373_,229.84
_0048_,228.44
_0182_,227.72
_0422_,227.42
regs\[11\]\[9\],227.4
_0223_,226.465
_0213_,221.845
regs\[10\]\[1\],221.02
_0158_,220.96
_0130_,219.585
_0137_,219.32
_0400_,219.16
_0366_,219.15
regs\[6\]\[5\],219.1
_0386_,218.02
_0232_,217.585
_0187_,216.525
_0209_,215.185
_0261_,215.12
_0438_,213.48
regs\[2\]\[12\],212.62
_0440_,209.4
_0049_,208.745
_0385_,208.64
data_out[2],207.49
regs\[13\]\[0\],205.12
_0475_,204.52
_0471_,204.48
_0023_,202.93
_0110_,201.965
_0345_,200.58
_0473_,197.54
_0045_,196.945
_0206_,195.9
_0474_,193.5
_0015_,192.04
_0382_,191.54
_0368_,191.52
_0552_,191.1
_0201_,190.565
regs\[5\]\[2\],190.56
regs\[12\]\[14\],188.54
data_out[7],188.33
_0054_,188.015
_0010_,187.225
_0416_,185.68
_0085_,185.225
data_out[5],183.43
_0106_,181.44
_0480_,180.62
_0384_,179.12
_0128_,178.685
_0250_,178.105
_0236_,177.465
_0436_,176.72
regs\[1\]\[15\],176.06
_0086_,174.98
_0214_,174.845
_0324_,173.18
_0479_,173.02
_0076_,171.005
_0012_,169.985
_0414_,169
_0146_,168.76
_0211_,168.505
_0059_,168.155
_0221_,168.085
_0001_,167.895
_0323_,167.5
_0439_,165.98
_0120_,165.92
_0469_,165.44
_0409_,165.36
_0459_,165.24
_0152_,165.085
_0383_,163.86
_0406_,163.18
_0340_,161.68
regs\[1\]\[3\],160.6
_0343_,160.2
_0112_,159.535
_0040_,158.065
_0070_,157.405
_0141_,155.545
_0090_,155.32
_0472_,153.68
_0451_,153.5
regs\[11\]\[2\],152.04
_0196_,151.735
_0031_,151.405
_0234_,150.76
_0339_,150.42
_0026_,149.945
_0103_,149.915
_0461_,146.58
_0466_,146.06
_0465_,145.18
_0511_,145.12
_0088_,143.005
_0135_,142.1
_0053_,141.965
_0325_,139.86
_0056_,138.825
_0034_,137.065
_0167_,136.185
_0131_,135.28
_0139_,134.82
_0102_,134.58
_0468_,134.48
_0005_,133.565
_0145_,130.805
_0347_,127.18
_0162_,126.915
_0407_,125.96
_0011_,123.335
_0160_,119.76
_0200_,119.305
_0198_,118.12
data_out[11],118.05
_0283_,117.58
regs\[8\]\[0\],115.58
_0470_,115.18
_0195_,110.045
regs\[13\]\[6\],109.18
_0168_,108.225
_0354_,107.94
_0355_,107.3
_0190_,104.765
_0456_,104.1
_0028_,103.665
_0080_,102.425
_0441_,92.92
_0421_,92.22
_0055_,91.265
regs\[14\]\[1\],90.3
_0253_,89.825
_0129_,87.825
_0401_,83.62
clknet_leaf_28_clk,83.42
_0118_,80.74
_0188_,79.805
_0169_,78.985
clknet_leaf_95_clk,78.4
clknet_leaf_71_clk,76.96
_0541_,75.78
clknet_leaf_10_clk,74.5
_0431_,72.84
regs\[8\]\[13\],72.26
clknet_leaf_34_clk,72.24
clknet_leaf_64_clk,71.8
clknet_leaf_75_clk,69.56
data_out[3],68.99
